,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-12-29,1031669.0565993674,1067419.4767589837,873250.5485827219,979583.6558406645,1055160.2250723802,,967789.858725514
2022-12-30,1031144.8151064323,1065032.073415783,872164.8055331003,979607.435408055,1054136.5204615556,,965647.1740664716
2023-01-03,1029777.479323643,1075930.2912731438,870236.6834742319,986064.9183505065,1052115.4714732133,,965330.2492815424
2023-01-04,1030455.760237471,1092634.6120014458,879193.2613589059,1001244.1125187117,1057168.335797783,,969216.4185473715
2023-01-05,1017943.2925015853,1089832.566188839,872734.988934208,994563.767736943,1042669.9998946153,,959320.5132611117
2023-01-06,1037822.0435400718,1111934.7402973443,889868.1223246347,1016791.5744632003,1059882.3657336198,,979728.4210636519
2023-01-09,1034580.7419450744,1089677.8284855157,895822.9690157663,1013095.2410405929,1050581.2429567568,,976437.6379646987
2023-01-10,1038552.2240630324,1090485.97321513,902379.1882464181,1016359.5286961638,1050534.4228445285,,981869.3987669407
2023-01-11,1048403.856398432,1093227.2659541778,909210.7412897836,1019253.6467113768,1058228.90401709,,989703.3015027811
2023-01-12,1058647.7383389839,1100116.323235672,920873.0458513986,1030466.6657407805,1065832.2526994937,,996023.7034703776
2023-01-13,1061235.5715717776,1101741.29314534,925659.1827189218,1034693.5144557769,1064301.4835439913,,999305.1552112107
2023-01-17,1040185.6904936908,1083922.4401179962,912834.6488672983,1016405.504433766,1055277.181319977,,987892.4490422499
2023-01-18,1022546.9121007618,1068863.7209228973,900732.2384821664,999340.9969276206,1037098.3970639955,,970008.5598141194
2023-01-19,1018653.0151453518,1064881.7454222413,897387.2763525735,996418.4108938071,1031371.8134267579,,962655.5634126097
2023-01-20,1021696.4583320316,1064297.880203125,906607.4679533731,1001655.2485817039,1039842.9822347413,,972296.2219151725
2023-01-23,1031834.1378074592,1070013.4046782227,920056.1500727426,1012936.8581498038,1044518.94208696,,979697.8096571362
2023-01-24,1036310.6370207313,1071911.5103630982,921935.9365908395,1013152.6939428031,1052861.1640393983,,982739.2634190051
2023-01-25,1037183.141582476,1074683.343203064,923627.059027363,1015162.8311423041,1056973.0440862428,,983027.056159072
2023-01-26,1042681.9212622321,1075253.3935418092,941039.8922030221,1020631.6683202826,1055231.6655097848,,989015.7397252074
2023-01-27,1038975.2691999839,1068912.251116272,936741.039255787,1023260.7995339896,1062500.9211860544,,989850.8962769475
