,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-06-16,893206.3971064991,876032.2404737971,875946.5137825435,922828.8497293566,961386.669647713,,871836.7549451077
2022-06-17,892590.3343280262,874617.1009722827,881886.4468841975,918639.505746622,958935.7336163714,,870721.2593600919
2022-06-21,920298.0647662586,889684.3110934909,904192.9703674739,950476.8166254442,980636.8718457415,,889408.6126614695
2022-06-22,920170.2344973987,885088.5308314975,903111.9624710506,955939.0051545886,973317.4696545794,,888035.9357429025
2022-06-23,926026.4268802112,885209.8693629917,915281.5311203426,967716.4081108951,975859.8365750506,,893694.2095736548
2022-06-24,944802.3161014026,910125.6020213779,940386.8483238643,979563.9963542918,1003462.9876179888,,917679.2138535619
2022-06-27,946714.9489444202,906224.7512828525,937705.4157829707,985915.2641089075,1005364.9694409564,,915860.7938891894
2022-06-28,935816.8549121326,892070.6835643466,915302.2824554866,977868.2198993014,994484.8580594256,,901549.1078652652
2022-06-29,935075.423897118,893677.169976395,916279.8055115169,982208.7440705965,995771.8471036151,,903947.2669021052
2022-06-30,927186.9885867542,888626.1121188815,903001.4783134883,978753.6864771785,981426.0757870867,,896551.1983170782
2022-07-01,935666.0379680103,900780.3804065402,915207.3223991817,986434.5946858156,988018.0142445758,,905926.7665910978
2022-07-05,927406.3422702259,896493.23600499,920996.7136993831,972001.685025423,984445.6715550616,,902155.9306356908
2022-07-06,932842.9025195545,896960.0181247409,923863.0452194636,983363.4477094706,981600.1995549395,,904191.0770822527
2022-07-07,942187.961761803,908280.2984363254,938242.4365654414,988399.1991916827,998284.5421300128,,914296.1413468609
2022-07-08,942754.097195,906389.8851405795,938194.66478352,990944.0218391092,996896.1617322161,,912944.4030855387
2022-07-11,938676.0622256702,901798.26227681,932992.6203957027,988912.2342656077,991834.0726170733,,908157.7008626044
2022-07-12,931720.0349048084,897587.1425677951,928912.4493866389,983537.575566511,988485.6692853167,,902549.4977339593
2022-07-13,919485.2278636402,893392.7713176425,924526.8324013179,967474.9568364886,985562.6854405596,,896474.2715111133
2022-07-14,916293.597736687,894785.1116878208,925538.7880154079,968785.3781599979,979124.6343999102,,892319.4843081833
2022-07-15,944342.1999705738,905817.0524188693,945170.6768341487,1000533.6543542421,998059.2350049212,,911490.9871598236
2022-07-18,933870.277664513,901501.6774303134,931885.6842422908,986689.3864596804,991319.1880307391,,905208.6503055337
2022-07-19,954949.0081790393,920525.1536990817,949979.1787033504,1005216.3125983332,1013883.4124341204,,927187.0711984901
2022-07-20,952859.8752635425,924290.4953204807,955906.1313362544,995078.9132275294,1012751.0201039508,,928579.264311174
2022-07-21,957471.6142962879,928585.3765956577,965617.416774792,999866.1936259478,1018765.146336098,,933300.4194331678
2022-07-22,954777.8306315845,926071.1554004367,962833.730762524,1000214.968750677,1013303.6314435198,,929291.5200486506
2022-07-25,958828.2018779224,925391.549966019,959617.6210365718,1006329.4457687014,1019686.984943886,,931935.2531199169
2022-07-26,955675.2044375843,916032.144509476,945684.1605225032,1003546.8700630739,1012646.9587063983,,925278.5808688496
2022-07-27,968936.4328349537,933121.7070056613,967228.7244492,1013504.5308428783,1025221.598339577,,937981.6317905261
2022-07-28,977866.7157748645,947994.6286098178,971263.8424530452,1027304.9737959155,1029082.1437802508,,947654.6655538832
2022-07-29,991318.6832812732,959885.5248691257,986358.8350296443,1030388.1089385928,1042542.6073956683,,956845.7688094575
2022-08-01,984845.7880862659,966485.0687495883,981437.0207600559,1026257.9912474307,1035770.305042763,,955484.4146973898
2022-08-02,978051.3741382068,953352.2594310459,972613.6676030124,1020223.3081432246,1015792.6494946673,,943766.6755352501
2022-08-03,990052.2624324268,964009.8204814609,992493.0647969211,1032910.3628488712,1024085.2885441973,,955895.2220487702
2022-08-04,986330.1562541431,960059.6337749179,988423.7163968051,1027691.2868913516,1021852.0787167742,,953399.1975487205
2022-08-05,989761.5353854602,961944.9977084812,992230.1071476901,1029784.0495766962,1027078.8549962237,,955632.1232686064
2022-08-08,990724.6358836597,961152.7749568637,992437.9854817356,1032951.8145227946,1029294.6455426409,,956479.0009165215
2022-08-09,988837.5103572315,962085.0543986972,992064.1970372165,1028859.2482834148,1031557.5598263934,,954785.5870118419
2022-08-10,1001908.500648827,977866.3593303378,1011218.8707318271,1039650.4320497607,1050128.8549695208,,970374.189736553
2022-08-11,1002732.2642711109,978858.863423508,1012311.803520676,1037906.540098627,1052480.2585759356,,971165.4206268988
2022-08-12,1018766.5164569324,991060.3394633945,1030467.6588520969,1054307.4886614664,1063024.0276761248,,983528.4459624465
2022-08-15,1020148.5299495166,993609.6454288181,1034955.8101696933,1059437.037585886,1068475.900078316,,987938.7644416991
2022-08-16,1021720.484493584,1003196.6608478244,1039860.419258591,1066930.3248353365,1075728.8723530963,,994917.9375331576
2022-08-17,1019200.3482211536,999219.3548824008,1040233.1202282871,1064271.0799302156,1073425.8262677386,,989916.2157837874
2022-08-18,1021168.4595797962,1003898.0765506442,1039177.9183964694,1066637.5489051074,1075616.375317116,,990461.5312485562
2022-08-19,1014396.3307155079,991402.6441203769,1026626.0719876254,1062873.2195028323,1069068.2322278216,,981946.2117758553
2022-08-22,996830.7811320728,971547.6550380405,1005070.7661366428,1046827.649372919,1049753.1223378375,,963210.5516266491
2022-08-23,992404.1423228687,969424.3714534458,999979.1786923374,1036069.67114089,1048905.506931801,,958723.6477325823
2022-08-24,995609.145607323,972574.8740436252,1003608.1463742221,1036764.171371992,1046432.461922188,,960461.1010957062
2022-08-25,1003318.455688805,984318.5110637363,1012960.1085438693,1044816.5890147341,1058857.0544438555,,969857.664925496
2022-08-26,971099.9133571094,956062.6042834934,980481.7453522647,1014867.998730852,1029935.2331662371,,940481.4684917589
2022-08-29,964013.1980937427,953268.4416515048,969342.073921677,1011855.539927328,1024211.2902989581,,935109.2235467946
2022-08-30,953955.7352107471,942844.6416141208,961477.491360184,1001335.9951930216,1015796.0813679888,,926133.0260206059
2022-08-31,943718.635666222,934857.144509476,950840.5113930667,993186.2602290248,1011270.7829327777,,917963.2512909707
2022-09-01,946597.0973361438,934545.7510921176,956885.9901032413,1001426.2405640124,1019114.0149197772,,922216.2453482611
2022-09-02,935932.3722690052,925880.696778458,946219.9876217807,987913.8146229838,1008468.0896058276,,912370.183170008
2022-09-06,930298.0588420337,921041.3033229526,941319.0481057132,985311.8703237762,1004098.2371239855,,907326.2996135225
2022-09-07,940590.0849765247,935579.9952441867,953716.4913372959,997445.9886382674,1013331.3050294116,,920027.2452897694
2022-09-08,946355.197258324,940930.6694957431,956591.1075596774,1003576.140783472,1020237.3675675585,,925656.7284668101
2022-09-09,959532.2998622364,951031.97529332,971049.9337410892,1010287.4765763854,1035349.1497540667,,936645.0854354113
2022-09-12,973685.4081424183,957959.9539004978,991092.5309452976,1019584.6068244132,1035532.0177102282,,943334.6450339991
2022-09-13,938828.928799004,917687.1150027927,949858.4694008792,982560.7781927413,995517.1411690905,,906151.4019682793
2022-09-14,937718.3658412403,920200.0180827793,955298.9064354862,976342.6457305659,998695.0521245196,,907028.8341241849
2022-09-15,935445.2248347705,908629.0013286289,944951.5011391605,978050.4061882342,993869.7141766741,,901981.1383665162
2022-09-16,930007.4631961292,904422.7103320773,939336.7477269138,977311.8933913745,991420.4421944811,,897920.1199329871
2022-09-19,936455.8941806263,909696.6908961948,949322.6834244693,983700.7431198196,996085.367340584,,903666.7002747288
2022-09-20,930934.7741664356,902160.1354419406,946784.1712002719,976558.3575943678,984116.5036416247,,894535.2835720076
2022-09-21,913716.5558360523,889145.8907634433,929102.7799458469,958944.4719895533,967843.4456258013,,879315.2125945113
2022-09-22,914338.0200580066,881825.8719112094,927470.767248627,961186.5419695795,967261.9469390757,,876195.1819694492
2022-09-23,898509.5272296375,863001.4013454135,913226.1153950656,951674.6754839305,947723.8611160166,,862029.1561698371
2022-09-26,889124.1001933521,852621.4244014438,908142.661200043,942479.8877782802,939577.9117103465,,852427.2455628823
2022-09-27,889240.1573108142,847687.2722331699,908765.4193673099,941128.3037361811,935102.0675979502,,848761.8425745262
2022-09-28,900918.543869347,867540.3366824802,914305.9995942081,954543.3758751887,953730.793885792,,864748.0521927895
2022-09-29,885751.6580241626,851208.8937808688,891139.9538617099,941318.73241514,942558.8709464915,,851401.7634446094
2022-09-30,872509.5313151783,836163.6422931369,872989.9323639835,927863.8577686481,929856.193646992,,836832.8391886088
2022-10-03,897802.1040843433,863348.6934863742,896638.8048043216,951232.0183807925,953924.6804176219,,859129.9487207732
